tree_id,confidence,area_m2
1,0.8469432592391968,39.00499524315206
2,0.9576060771942139,102.12622182808724
3,0.9519464373588562,68.60421448796606
4,0.9541430473327637,102.61657033950517
5,0.9293658137321472,45.646988718530835
6,0.8431398868560791,75.37993937845071
7,0.729689359664917,140.81917710495304
8,0.6611337661743164,72.30411689282042
9,0.643945574760437,34.993052871733475
10,0.6521531939506531,75.33536224056871
11,0.625493586063385,107.02970694442283
12,0.8764832019805908,39.985692266196665
13,0.8528380393981934,26.61255103828474
14,0.8080047369003296,22.6451858102403
15,0.688870370388031,67.44520891506208
16,0.7664974331855774,32.2738474952073
17,0.5281840562820435,88.79765773868286
18,0.9570873975753784,63.789883649479975
19,0.9491852521896362,41.14469783875312
20,0.5352877378463745,32.229270354474956
21,0.8293389678001404,63.87903792420116
22,0.6969565153121948,104.08761588015531
23,0.6725611686706543,45.78072013155099
24,0.9572905898094177,143.67211390437146
25,0.8692324757575989,55.320227537834214
26,0.9610362648963928,155.75251814649823
27,0.8253338932991028,82.69058991482886
28,0.6989189386367798,128.38215577096355
29,0.6756028532981873,43.95305749570111
30,0.6470078229904175,32.49673318093254
31,0.7678937315940857,56.07803887550126
32,0.9315746426582336,103.37438167640761
33,0.9394193291664124,52.11067364133889
34,0.9187450408935547,26.657128176653377
35,0.8361995816230774,39.53992088994926
36,0.7417709827423096,28.217327986254347
37,0.7133727073669434,33.16539024095859
38,0.5120283961296082,34.814744323751086
39,0.7026649117469788,75.2016308284523
40,0.7405149936676025,72.25953975709369
41,0.9574782848358154,36.68698409588408
42,0.9244742393493652,67.44520891603538
43,0.672232449054718,32.45215604068681
44,0.6315658092498779,31.560613294309885
45,0.9235595464706421,45.602411581205
46,0.9027652144432068,32.67504172870622
47,0.8875120878219604,55.587690363318444
48,0.7644547820091248,47.51922848753531
49,0.6237200498580933,155.6633638687182
50,0.949463427066803,84.38452113307012
51,0.8473804593086243,27.41493951306903
52,0.6764235496520996,21.619911646532834
53,0.9086067080497742,27.013745276997795
54,0.8614550232887268,61.1598325405838
55,0.8658933639526367,46.40480005279134
56,0.9378889203071594,35.84001848544255
57,0.9292376041412354,85.85556667017464
58,0.5831084251403809,44.17594318476336
59,0.9163889288902283,87.37118934168501
60,0.8972616791725159,36.241212722069854
61,0.9508560299873352,72.97277395152561
62,0.946209192276001,75.91486502837647
63,0.8211537599563599,83.76044120953567
64,0.7540207505226135,50.06012532379599
65,0.9402238726615906,58.12858719547744
66,0.9204885363578796,105.02373575669732
67,0.8394867181777954,50.773359524137234
68,0.8639664649963379,33.16539023998522
69,0.7298613786697388,26.65712817630579
70,0.58259516954422,229.26021774954845
71,0.9583396911621094,161.72585456004344
72,0.9274646639823914,61.47187250262923
73,0.9228554368019104,81.39785292807035
74,0.9276232123374939,34.235241539071886
75,0.5119063854217529,43.28440043511889
76,0.8036789298057556,75.95944216744022
77,0.6194989085197449,20.594637488248
78,0.9402597546577454,175.9459613935999
79,0.8729182481765747,76.04859644188326
80,0.8408257961273193,42.70489764863214
81,0.7793993353843689,31.694344705731137
82,0.8575372695922852,275.5312863886939
83,0.7689262628555298,87.95069213220407
84,0.6344443559646606,22.868071498259756
85,0.7542210817337036,79.61476743288318
86,0.8936558365821838,106.98512980737509
87,0.8491788506507874,49.39146826258812
88,0.5190001726150513,79.07984178142804
89,0.8731312155723572,123.30036210567232
90,0.7890418171882629,130.61101264351043
91,0.5919961333274841,17.073043632766332
92,0.6870595812797546,85.23148674406784
93,0.9404621124267578,160.0765004730795
94,0.7348704934120178,78.5894932696624
95,0.7183037400245667,27.504093785495957
96,0.9197575449943542,49.56977681105706
97,0.925004243850708,69.58491151546008
98,0.9327923059463501,100.69975343095034
99,0.8004412055015564,29.68837352488831
100,0.6881871819496155,32.808773139015166
101,0.7702333927154541,104.17677015251266
102,0.7945020198822021,85.36521815715763
103,0.6006239056587219,18.410357755460176
104,0.5198861956596375,187.17940002236526
105,0.8467857837677002,117.99568274937228
106,0.8637629151344299,314.5362816320544
107,0.6021348834037781,27.94986516355087
108,0.6207233667373657,52.24440505658379
109,0.5878526568412781,82.51228136601229
110,0.5055185556411743,84.47367540890362
111,0.810365617275238,25.498122604096963
112,0.6801385283470154,36.68698409386794
113,0.9283553957939148,45.46868016721156
114,0.6316049695014954,37.89056680611383
115,0.5552294254302979,53.13594780581111
116,0.5194752216339111,26.612551039675203
117,0.9588737487792969,81.30869865161117
118,0.7340068817138672,20.059711837835664
119,0.9383835792541504,74.48839662706818
120,0.5206003189086914,23.893345657309276
121,0.5063015222549438,41.144697838057894
122,0.8482576012611389,67.66809460516714
123,0.6510719656944275,25.765585426939417
124,0.5948565602302551,20.906677450571436
125,0.6688767075538635,74.08720239301311
126,0.7082805633544922,69.31744868420547
127,0.617110550403595,79.97138453225433
128,0.9533720016479492,131.27966969665385
129,0.9613654017448425,159.7644605124941
130,0.8881028890609741,80.72919586595866
131,0.8766928315162659,35.21593856010042
132,0.7512785792350769,20.238020389641612
133,0.5693928003311157,40.83265787649921
134,0.604475736618042,43.284400435327555
135,0.5110215544700623,33.56658447723834
136,0.578584611415863,54.65157047600061
137,0.5220410227775574,27.192053823937282
